=== exp_roof_030 | car->van | MODE=adversarial | AREA_FRAC=0.2 | IMG_SIZE=640 | ROT_DEG=20.0 | LR=0.03 | LOWER_TALL=0.6 | LOWER_WIDE=0.75 | ROOF_LEN=0.3 | ROOF_WID=0.7 | MIN_AREA_FRAC=0.001 ===
[eval ] datasets/VisDrone/images/test: 1360 images | 11446 cars | 16628 dropped below 0.10% area
[train] datasets/VisDrone/images/val: 100 images | 1159 cars
  epoch 121/160  total 10831.695  margin 4453.277  hinge 6377.728  tv 0.690  (383s)
  epoch 122/160  total 10803.967  margin 4437.832  hinge 6365.451  tv 0.683  (386s)
  epoch 123/160  total 10822.469  margin 4448.006  hinge 6373.780  tv 0.683  (389s)
  epoch 124/160  total 10899.479  margin 4450.211  hinge 6448.580  tv 0.688  (392s)
  epoch 125/160  total 10816.256  margin 4431.852  hinge 6383.720  tv 0.683  (395s)
  epoch 126/160  total 10829.531  margin 4453.543  hinge 6375.293  tv 0.695  (398s)
  epoch 127/160  total 10846.850  margin 4455.365  hinge 6390.794  tv 0.691  (401s)
  epoch 128/160  total 10817.671  margin 4443.485  hinge 6373.503  tv 0.683  (404s)
  epoch 129/160  total 10794.002  margin 4434.614  hinge 6358.711  tv 0.677  (407s)
  epoch 130/160  total 10842.658  margin 4449.217  hinge 6392.760  tv 0.681  (410s)
  epoch 131/160  total 10851.845  margin 4444.210  hinge 6406.953  tv 0.682  (413s)
  epoch 132/160  total 10866.233  margin 4448.397  hinge 6417.152  tv 0.684  (416s)
  epoch 133/160  total 10845.082  margin 4445.421  hinge 6398.971  tv 0.690  (419s)
  epoch 134/160  total 10860.832  margin 4448.908  hinge 6411.248  tv 0.677  (422s)
  epoch 135/160  total 10831.050  margin 4434.343  hinge 6396.028  tv 0.679  (425s)
  epoch 136/160  total 10821.239  margin 4436.029  hinge 6384.520  tv 0.689  (428s)
  epoch 137/160  total 10790.655  margin 4432.937  hinge 6357.037  tv 0.682  (431s)
  epoch 138/160  total 10794.287  margin 4429.295  hinge 6364.313  tv 0.678  (434s)
  epoch 139/160  total 10900.686  margin 4471.182  hinge 6428.811  tv 0.693  (437s)
  epoch 140/160  total 10895.556  margin 4469.854  hinge 6425.009  tv 0.694  (440s)
  epoch 141/160  total 10880.020  margin 4466.489  hinge 6412.841  tv 0.690  (443s)
  epoch 142/160  total 10867.202  margin 4447.684  hinge 6418.807  tv 0.711  (446s)
  epoch 143/160  total 10849.864  margin 4459.913  hinge 6389.250  tv 0.701  (449s)
  epoch 144/160  total 10823.841  margin 4459.791  hinge 6363.356  tv 0.693  (452s)
  epoch 145/160  total 10804.078  margin 4447.406  hinge 6355.984  tv 0.688  (455s)
  epoch 146/160  total 10821.471  margin 4450.895  hinge 6369.893  tv 0.683  (459s)
  epoch 147/160  total 10866.322  margin 4449.248  hinge 6416.380  tv 0.693  (462s)
  epoch 148/160  total 10809.151  margin 4435.749  hinge 6372.710  tv 0.691  (465s)
  epoch 149/160  total 10830.334  margin 4441.671  hinge 6387.974  tv 0.689  (468s)
  epoch 150/160  total 10808.842  margin 4436.818  hinge 6371.343  tv 0.681  (471s)
  epoch 151/160  total 10818.258  margin 4445.355  hinge 6372.215  tv 0.688  (474s)
  epoch 152/160  total 10849.511  margin 4447.757  hinge 6401.067  tv 0.687  (477s)
  epoch 153/160  total 10824.888  margin 4449.557  hinge 6374.632  tv 0.699  (481s)
  epoch 154/160  total 10832.278  margin 4450.802  hinge 6380.787  tv 0.689  (484s)
