Training RetinaNet-ResNet50, FPN_MODE=custom, 640px, 30 epochs
/home/aarav/attack_env/lib/python3.12/site-packages/torchvision/models/_utils.py:135: UserWarning: Using 'backbone_name' as positional parameter(s) is deprecated since 0.13 and may be removed in the future. Please use keyword parameter(s) instead.
  warnings.warn(
  ep14/30 it50/809 loss 0.483 lr 0.00060
  ep14/30 it100/809 loss 0.620 lr 0.00060
  ep14/30 it150/809 loss 0.671 lr 0.00060
  ep14/30 it200/809 loss 0.594 lr 0.00060
  ep14/30 it250/809 loss 0.476 lr 0.00060
  ep14/30 it300/809 loss 0.543 lr 0.00060
  ep14/30 it350/809 loss 0.692 lr 0.00060
  ep14/30 it400/809 loss 0.484 lr 0.00060
  ep14/30 it450/809 loss 0.481 lr 0.00060
  ep14/30 it500/809 loss 0.565 lr 0.00060
  ep14/30 it550/809 loss 0.575 lr 0.00060
  ep14/30 it600/809 loss 0.595 lr 0.00060
  ep14/30 it650/809 loss 0.537 lr 0.00060
  ep14/30 it700/809 loss 0.541 lr 0.00060
  ep14/30 it750/809 loss 0.399 lr 0.00060
  ep14/30 it800/809 loss 0.565 lr 0.00060
Epoch 14 done, avg loss 0.561
  ep15/30 it0/809 loss 0.603 lr 0.00055
  ep15/30 it50/809 loss 0.582 lr 0.00055
  ep15/30 it100/809 loss 0.568 lr 0.00055
  ep15/30 it150/809 loss 0.550 lr 0.00055
  ep15/30 it200/809 loss 0.576 lr 0.00055
  ep15/30 it250/809 loss 0.566 lr 0.00055
  ep15/30 it300/809 loss 0.517 lr 0.00055
  ep15/30 it350/809 loss 0.677 lr 0.00055
  ep15/30 it400/809 loss 0.546 lr 0.00055
  ep15/30 it450/809 loss 0.521 lr 0.00055
  ep15/30 it500/809 loss 0.521 lr 0.00055
  ep15/30 it550/809 loss 0.642 lr 0.00055
  ep15/30 it600/809 loss 0.652 lr 0.00055
  ep15/30 it650/809 loss 0.625 lr 0.00055
  ep15/30 it700/809 loss 0.521 lr 0.00055
  ep15/30 it750/809 loss 0.477 lr 0.00055
  ep15/30 it800/809 loss 0.486 lr 0.00055
Epoch 15 done, avg loss 0.552
  ep16/30 it0/809 loss 0.520 lr 0.00050
  ep16/30 it50/809 loss 0.670 lr 0.00050
